,IsRecentlyVerified,DateLastVerified,ID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageCost,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.RelatedURL,AddressInfo.DistanceUnit,UsageTypeID,AddressInfo.ContactTelephone2,DateLastConfirmed
6985,False,2015-06-17T22:13:00Z,47945,1,,73.0,,0.29 € /kWh,"[{'ID': 59139, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.1, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2015-06-17T22:13:00Z,1.0,2015-06-17T22:06:00Z,200,48291,Lumen Hotel Zwolle,Stadionplein 20,Zwolle,8025 CP,159,52.5158454149262,6.12057570793457,http://www.hotellumen.nl/,0,4.0,,
6986,False,2016-06-04T02:54:00Z,38417,26,31008,,Yourhosting.nl,0.00 jaarabonnement,"[{'ID': 41928, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 55094, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 22.0}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38763,Ceintuurbaan 26A,Ceintuurbaan 26A,Zwolle,8024 AA,159,52.522583624123,6.1180865764618,http://www.yourhosting.nl,0,,,
6987,False,2016-06-04T02:54:00Z,65770,26,86218,103.0,Allego NLALLEGO0011551,0.00 jaarabonnement,"[{'ID': 90814, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 90815, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2016-04-27T09:42:00Z,100,66116,Ambonstraat 47,Ambonstraat 47,Zwolle,8022 NS,159,52.5191833,6.11379933,http://www.allego.eu/,0,,,
6988,False,2016-06-04T02:54:00Z,64022,26,73874,73.0,EV-Box EVB-P1413025,0.00 jaarabonnement,"[{'ID': 81850, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 5.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2016-03-03T12:32:00Z,100,64368,Wipstrikkerallee 71,Wipstrikkerallee 71,Zwolle,8023 DV,159,52.51223,6.11385,http://www.ev-box.nl,0,,,
6989,False,2016-06-04T02:54:00Z,38328,26,47982,178.0,EVnetNL DB0221,0.00 jaarabonnement,"[{'ID': 41839, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38674,Assendorperdijk 42,Assendorperdijk 42,Zwolle,8012 EH,159,52.506627,6.103018,http://www.evnet.nl,0,,,
6990,False,2016-06-04T02:54:00Z,65764,26,86090,103.0,Allego NLALLEGO0011501,0.00 jaarabonnement,"[{'ID': 90805, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 90806, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2016-04-27T09:42:00Z,100,66110,Schoutenstraat 4,Schoutenstraat 4,Zwolle,8011 NX,159,52.51075549,6.09559996,http://www.allego.eu/,0,,,
6991,False,2016-06-04T02:54:00Z,38305,26,47454,178.0,EVnetNL AL612,0.00 jaarabonnement,"[{'ID': 41816, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38651,Hanzelaan,Hanzelaan,Zwolle,8017 JJ,159,52.50388,6.088435,http://www.evnet.nl,0,,,
6992,False,2016-06-04T02:54:00Z,65761,26,33948,73.0,EV-Box EVB-P1239114,0.00 jaarabonnement,"[{'ID': 90799, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 90800, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2016-04-27T09:42:00Z,100,66107,Hanzelaan 93,Hanzelaan 93,Zwolle,8017 JE,159,52.5062071497568,6.08296667724608,http://www.ev-box.nl,0,,,
6993,False,2015-06-17T22:42:00Z,38357,1,,178.0,EVnetNL AL595,0.00 jaarabonnement,"[{'ID': 41868, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.1, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2015-06-17T22:42:00Z,3.0,2015-01-09T06:07:00Z,100,38703,Potgietersingel 1 a,Potgietersingel 1 a,Zwolle,8011 NA,159,52.510158129246,6.0908860552254,http://www.evnet.nl,0,4.0,,
6994,False,2016-06-04T02:54:00Z,38382,26,48204,178.0,EVnetNL EV0088,0.00 jaarabonnement,"[{'ID': 41893, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38728,Buitenkant 6,Buitenkant 6,Zwolle,8011 VH,159,52.514295,6.090481,http://www.evnet.nl,0,,,
